Date,Consommation
2019-10-28,52447.479166666664
2019-10-29,54269.020833333336
2019-10-30,54700.9375
2019-10-31,54120.395833333336
2019-11-01,47417.4375
2019-11-02,46340.541666666664
2019-11-03,46418.0625
2019-11-04,54180.8125
2019-11-05,56959.395833333336
2019-11-06,57945.458333333336
2019-11-07,59836.354166666664
2019-11-08,61771.125
2019-11-09,57556.770833333336
2019-11-10,55681.770833333336
2019-11-11,57542.604166666664
2019-11-12,64653.083333333336
2019-11-13,66392.89583333333
2019-11-14,68430.64583333333
2019-11-15,69615.20833333333
2019-11-16,63850.916666666664
2019-11-17,61159.083333333336
2019-11-18,68871.20833333333
2019-11-19,70053.20833333333
2019-11-20,71266.45833333333
2019-11-21,69913.3125
2019-11-22,66054.375
2019-11-23,58145.145833333336
2019-11-24,55944.604166666664
2019-11-25,61693.958333333336
2019-11-26,61151.083333333336
2019-11-27,60723.4375
2019-11-28,60913.25
2019-11-29,61032.979166666664
2019-11-30,59279.375
2019-12-01,58944.625
2019-12-02,68387.5625
2019-12-03,72277.33333333333
2019-12-04,73649.52083333333
2019-12-05,73344.95833333333
2019-12-06,72251.6875
2019-12-07,61504.833333333336
2019-12-08,57865.8125
2019-12-09,66388.75
2019-12-10,69837.79166666667
2019-12-11,70653.91666666667
2019-12-12,70857.04166666667
2019-12-13,67718.04166666667
2019-12-14,60104.25
2019-12-15,56425.75
2019-12-16,62644.520833333336
2019-12-17,61163.25
2019-12-18,61595.833333333336
2019-12-19,60134.791666666664
2019-12-20,58856.458333333336
2019-12-21,56222.395833333336
2019-12-22,54881.333333333336
2019-12-23,59111.729166666664
2019-12-24,55739.541666666664
2019-12-25,50828.416666666664
2019-12-26,57998.166666666664
2019-12-27,57654.541666666664
2019-12-28,56572.770833333336
2019-12-29,59809.791666666664
2019-12-30,65938.83333333333
2019-12-31,66632.5
2020-01-01,60785.958333333336
2020-01-02,64966.583333333336
2020-01-03,63830.416666666664
2020-01-04,60931.5625
2020-01-05,60551.5
2020-01-06,69904.625
2020-01-07,68540.1875
2020-01-08,65545.875
2020-01-09,63750.770833333336
2020-01-10,64752.520833333336
2020-01-11,62084.729166666664
2020-01-12,61293.5625
2020-01-13,67812.60416666667
2020-01-14,67291.66666666667
2020-01-15,65833.91666666667
2020-01-16,64789.520833333336
2020-01-17,64754.5625
2020-01-18,62903.041666666664
2020-01-19,63907.854166666664
2020-01-20,73132.60416666667
2020-01-21,74866.66666666667
2020-01-22,75599.6875
2020-01-23,75191.10416666667
2020-01-24,73312.16666666667
2020-01-25,66715.02083333333
2020-01-26,61810.583333333336
2020-01-27,68214.3125
2020-01-28,69240.27083333333
2020-01-29,68410.85416666667
2020-01-30,67455.66666666667
2020-01-31,61826.208333333336
2020-02-01,55672.0
2020-02-02,52669.6875
2020-02-03,58398.354166666664
2020-02-04,63533.375
2020-02-05,66248.85416666667
2020-02-06,68359.02083333333
2020-02-07,68208.4375
2020-02-08,60175.75
2020-02-09,57084.479166666664
2020-02-10,61772.958333333336
2020-02-11,64842.0625
2020-02-12,66509.47916666667
2020-02-13,67225.72916666667
2020-02-14,63440.020833333336
2020-02-15,57481.729166666664
2020-02-16,52842.895833333336
2020-02-17,60800.8125
2020-02-18,64212.666666666664
2020-02-19,64832.270833333336
2020-02-20,63993.833333333336
2020-02-21,64359.083333333336
2020-02-22,58595.020833333336
2020-02-23,53827.666666666664
2020-02-24,59050.0625
2020-02-25,61552.75
2020-02-26,66679.04166666667
2020-02-27,68286.85416666667
2020-02-28,67109.1875
2020-02-29,58728.979166666664
2020-03-01,56973.270833333336
2020-03-02,64943.6875
2020-03-03,67779.25
2020-03-04,67581.16666666667
2020-03-05,65386.875
2020-03-06,66287.875
2020-03-07,60446.145833333336
2020-03-08,56522.666666666664
2020-03-09,62808.270833333336
2020-03-10,63158.354166666664
2020-03-11,58516.729166666664
2020-03-12,58289.791666666664
2020-03-13,59280.8125
2020-03-14,54836.604166666664
2020-03-15,50592.0625
2020-03-16,56022.729166666664
2020-03-17,53727.020833333336
2020-03-18,49797.1875
2020-03-19,47393.875
2020-03-20,46204.9375
2020-03-21,45778.0
2020-03-22,46284.5625
2020-03-23,49762.6875
2020-03-24,50910.270833333336
2020-03-25,51864.041666666664
2020-03-26,52684.729166666664
2020-03-27,51686.270833333336
2020-03-28,47038.25
2020-03-29,48170.5625
2020-03-30,55293.916666666664
2020-03-31,54105.604166666664
2020-04-01,52383.583333333336
2020-04-02,51936.833333333336
2020-04-03,50226.8125
2020-04-04,45688.979166666664
2020-04-05,41614.958333333336
2020-04-06,44132.479166666664
2020-04-07,44202.791666666664
2020-04-08,42825.75
2020-04-09,41855.5625
2020-04-10,40639.770833333336
2020-04-11,37964.666666666664
2020-04-12,36706.3125
2020-04-13,37767.041666666664
2020-04-14,42746.916666666664
2020-04-15,43737.25
2020-04-16,42550.333333333336
2020-04-17,41283.6875
2020-04-18,38085.770833333336
2020-04-19,37287.625
2020-04-20,41660.4375
2020-04-21,42581.645833333336
2020-04-22,42581.6875
2020-04-23,42059.5
2020-04-24,41139.645833333336
2020-04-25,37802.083333333336
2020-04-26,36834.833333333336
